observation_date,GASREGW
2021-10-01,3.291
2021-11-01,3.395
2021-12-01,3.307
2022-01-01,3.315
2022-02-01,3.517
2022-03-01,4.222
2022-04-01,4.109
2022-05-01,4.444
2022-06-01,4.929
2022-07-01,4.559
2022-08-01,3.975
2022-09-01,3.700
2022-10-01,3.815
2022-11-01,3.685
2022-12-01,3.210
2023-01-01,3.339
2023-02-01,3.389
2023-03-01,3.422
2023-04-01,3.603
2023-05-01,3.555
2023-06-01,3.571
2023-07-01,3.597
2023-08-01,3.840
2023-09-01,3.836
2023-10-01,3.613
2023-11-01,3.318
2023-12-01,3.134
2024-01-01,3.075
2024-02-01,3.212
2024-03-01,3.426
2024-04-01,3.611
2024-05-01,3.603
2024-06-01,3.455
2024-07-01,3.484
2024-08-01,3.389
2024-09-01,3.214
2024-10-01,3.137
